ID,Area,Chla,TNmean,TN5,TN95,TPmean,TP5,TP95,N_Load,N_EN,N_DE,N_Outflow,P_Load,P_EN,P_DE,P_Outflow
NLA12_CO-101,10.65,12.667,0.42,0.31,0.57,0.028,0.021,0.035,0.00040551363900174115,0.00077941435283161,0.001218,2.106094022054556e-6,0.0001857225769007545,0.00015953781119585126,0.000364,1.404062681369704e-7
NLA12_CO-103,5.89,4.768,0.15,0.11,0.2,0.012,0.0089,0.015,0.0002987972972972973,0.00013460713561731297,0.00043499999999999995,1.2084324324324324e-5,0.0001193108108108108,2.7554387933296053e-5,0.000156,9.66745945945946e-7
NLA12_CO-104,0.76,218.0,4.0,3.2,5.0,0.25,0.19,0.32,0.007669432314410481,0.009768297650958614,0.0116,0.005734847161572052,0.002061572052401747,0.0014506673661629822,0.00325,0.00035842794759825326
NLA12_CO-105,0.36,101.3,2.2,1.2,3.7,0.1,0.062,0.16,0.0013491666666666667,0.02076664771070283,0.02024,0.0038016,0.00024,0.0027054826132764703,0.0028000000000000004,0.0001728
NLA12_CO-106,2.09,2.2,0.31,0.2,0.43,0.02,0.014,0.026,0.00035445255474452554,0.0005492413959730725,0.000899,6.060613138686131e-5,0.00014510948905109488,9.753374154267651e-5,0.00026,3.91007299270073e-6
NLA12_CO-107,0.48,1.224,0.3,0.23,0.38,0.032,0.019,0.048,0.003526246719160105,0.000635066384418483,0.00276,0.001476283464566929,0.0008354330708661417,0.00017965204534616205,0.000896,0.00015747023622047243
NLA12_CO-109,0.51,5.993,0.52,0.37,0.7,0.052,0.035,0.073,0.002724925816023739,0.002632723410045962,0.004784,0.0008798955489614244,0.0007694362017804155,0.0007457594675279938,0.001456,8.798955489614244e-5
NLA12_CO-110,0.19,15.62,10.0,7.1,14.0,0.48,0.32,0.7,0.0007448979591836735,0.028969724814198433,0.028999999999999998,0.001763265306122449,0.00024489795918367346,0.005826288251371505,0.00624,8.463673469387755e-5
NLA12_CO-111,2.92,3.513333333,0.32,0.24,0.42,0.021,0.016,0.027,0.0005903669724770642,0.0004108099753613086,0.000928,0.00010526532110091745,0.00018788990825688073,8.087546239383894e-5,0.000273,6.908036697247708e-6
NLA12_CO-114,0.11,5.8,1.9,1.2,3.0,0.19,0.11,0.3,0.0003446808510638298,0.01845681303757356,0.01748,0.0027942127659574467,0.00011702127659574468,0.005282389450371659,0.00532,0.0002794212765957447
NLA12_CO-117,0.44,6.102857143,0.69,0.44,1.0,0.076,0.05,0.11,0.0015727810650887574,0.005315358950253443,0.0063479999999999995,0.0011288236686390531,0.0007106508875739645,0.0014968984178736237,0.002128,0.00012433420118343195
NLA12_CO-127,0.22,97.2,7.7,5.8,9.9,0.52,0.37,0.7,0.0004297297297297297,0.05490645321782724,0.02233,0.03236497297297297,0.00011621621621621622,0.008857589525317245,0.0067599999999999995,0.0021856864864864866
NLA12_CO-131,0.18,1.762857143,0.47,0.15,0.96,0.11,0.041,0.2,0.00019166666666666667,0.0034042952066920744,0.0029609999999999997,0.001269,5.208333333333334e-5,0.001928834315615459,0.00209,0.000297
NLA12_CO-133,0.13,1.104,0.42,0.27,0.62,0.059,0.031,0.093,0.0035910714285714287,0.0019651385625151937,0.003864,0.0020088000000000003,0.001275,0.000535249507522832,0.001652,0.00028218857142857146
NLA12_CT-101,0.17,3.664,0.42,0.31,0.54,0.041,0.029,0.055,0.009501428571428572,0.00624593321061792,0.002688,0.01327104,0.0011971428571428571,0.000978579070813112,0.000902,0.0012955062857142857
NLA12_CT-102,0.88,1.52,0.12,0.074,0.2,0.0077,0.0045,0.011,0.0006232758620689655,0.0006484065339299282,0.0013199999999999998,0.00016803310344827587,7.913793103448276e-5,0.00019751892430057888,0.00027719999999999996,1.0782124137931035e-5
NLA12_CT-103,0.46,2.324,0.22,0.17,0.28,0.017,0.013,0.022,0.004165760869565218,0.000736209675595207,0.0014080000000000002,0.0034710260869565217,0.0005793478260869566,5.4497391760875046e-5,0.000374,0.00026821565217391305
NLA12_CT-104,0.31,28.404,0.39,0.3,0.51,0.047,0.035,0.061,0.03998046875,0.014987245828880977,0.0024960000000000004,0.05196555,0.00490625,0.002405492375237399,0.001034,0.006262515
NLA12_CT-105,0.11,26.08,2.5,1.5,3.8,0.11,0.07,0.16,0.002196,0.034457468412199634,0.027499999999999997,0.012960000000000001,0.000264,0.004544022842066589,0.00396,0.0005702400000000001
NLA12_CT-107,0.28,4.277333333,0.4,0.3,0.51,0.039,0.029,0.051,0.006717699115044248,0.004515451145767398,0.00256,0.00865529203539823,0.0008398230088495575,0.0008620936173588775,0.0008579999999999999,0.0008438909734513274
NLA12_CT-108,0.4,7.84,0.41,0.33,0.5,0.042,0.031,0.055,0.001183050847457627,0.003746198896919153,0.002624,0.002341586440677966,0.00016398305084745762,0.0009846099506057718,0.000924,0.0002398698305084746
NLA12_CT-115,0.96,3.432,0.21,0.16,0.26,0.0098,0.0074,0.012,0.0010899280575539568,0.0007356347777171938,0.001344,0.0005612892086330935,0.0001264388489208633,0.0001048446812037972,0.00021559999999999998,2.6193496402877698e-5
NLA12_CT-118,0.22,2.112,0.52,0.36,0.74,0.018,0.011,0.027,0.0024666666666666665,0.002905922644572341,0.0033280000000000002,0.0021929142857142862,0.0002511904761904762,0.000180483818533372,0.0003959999999999999,7.590857142857143e-5
NLA12_CT-126,0.27,2.82,0.3,0.19,0.43,0.014,0.0086,0.021,0.0007324137931034483,0.002298749024601998,0.00192,0.0012155586206896553,0.00010482758620689655,0.00023921690890720167,0.000308,5.6726068965517256e-5
NLA12_DE-101,0.42,92.8,1.0,0.84,1.2,0.084,0.066,0.1,0.039774736842105265,0.026593388631762305,0.0064,0.05866105263157895,0.003528421052631579,0.0032605409317547998,0.001848,0.004927528421052632
NLA12_DE-102,0.22,78.0,1.1,0.82,1.4,0.089,0.064,0.12,0.17210416666666667,0.05142940843599568,0.007040000000000001,0.22255200000000003,0.013502083333333333,0.006452431446972123,0.0019579999999999997,0.01800648
NLA12_DE-103,0.18,12.72,1.3,0.91,1.8,0.092,0.059,0.14,0.6953736842105264,0.03332795516978581,0.008320000000000001,0.7179612631578948,0.045331578947368424,0.007588512308899457,0.0020239999999999998,0.05080956631578947
NLA12_DE-107,0.19,8.48,1.0,0.74,1.4,0.085,0.059,0.12,0.268815625,0.029441622236145656,0.0064,0.28566,0.01878125,0.007675767023249808,0.00187,0.024281100000000003
NLA12_FL-102,2.58,23.52,0.18,0.15,0.23,0.014,0.011,0.017,0.0026952433628318583,0.001963757444099774,0.001152,0.0034166230088495575,0.00023407079646017699,0.00033895106264997574,0.000308,0.0002657373451327434
NLA12_FL-103,123.31,80.9,0.064,0.044,0.093,0.0018,0.0012,0.0025,0.0003978743845322445,1.8625655022078226e-5,0.00040960000000000004,2.115435571033986e-5,3.5931307793923384e-5,2.3247089225175917e-6,3.9599999999999994e-5,5.949662543533086e-7
NLA12_FL-104,0.34,16.32,2.2,1.8,2.7,0.14,0.1,0.18,0.012166964285714286,0.013178919275055248,0.014080000000000002,0.011710285714285716,0.0009830357142857143,0.002674260257077731,0.0030800000000000003,0.0007452000000000001
NLA12_FL-106,0.21,3.144,1.6,0.97,2.4,0.059,0.034,0.088,0.009825531914893618,0.007949114820300135,0.01024,0.008235574468085108,0.0005170212765957447,0.0009894961458737815,0.001298,0.00030368680851063833
NLA12_FL-107,0.27,2.3776,0.27,0.18,0.39,0.016,0.01,0.025,0.00318,0.004272275023106357,0.0017280000000000002,0.005778166153846154,0.0003292307692307692,0.0003295749020940242,0.000352,0.0003424098461538461
NLA12_FL-108,28.87,34.48888889,0.74,0.48,1.1,0.039,0.024,0.059,0.0260892972972973,0.0001110151194307537,0.004736,0.021393331199999997,0.0019767945945945945,1.6689612662512844e-5,0.0008579999999999999,0.001127486374054054
NLA12_FL-123,0.3,1.952,0.43,0.32,0.57,0.03,0.02,0.043,0.012063492063492064,0.003552895089312046,0.002752,0.012855771428571429,0.0013492063492063493,0.0001905211090413116,0.0006599999999999999,0.0008969142857142857
NLA12_FL-126,21.71,11.30666667,1.4,0.74,2.5,0.08,0.037,0.14,0.09439105403011515,0.0003451367276453238,0.00896,0.08587195748449956,0.006608207853557721,8.261893535098787e-5,0.0017599999999999998,0.004906968999114261
NLA12_FL-132,5.58,34.572,0.67,0.45,1.0,0.028,0.018,0.042,0.004942657342657343,0.0015970279852495408,0.004288,0.0023074237762237765,0.00045555555555555556,0.0002399110764874091,0.000616,9.642965034965036e-5
NLA12_FL-141,0.21,17.25714286,0.097,0.078,0.12,0.017,0.012,0.021,0.0021848837209302325,0.017708028708277562,0.0006208,0.019529213023255818,0.0003058139534883721,0.0035012279113019466,0.000374,0.003422645581395349
NLA12_GA-103,0.17,24.48,1.1,0.9,1.3,0.12,0.092,0.14,0.055989285714285714,0.0322574323600736,0.007040000000000001,0.08129314285714287,0.005678571428571429,0.005478627219244076,0.0026399999999999996,0.008868342857142856
NLA12_GA-104,36.21,5.024,0.28,0.21,0.36,0.014,0.01,0.019,0.0034667719298245615,7.209579851992057e-6,0.0017920000000000002,0.0016861809364791288,0.0003895015124016939,1.6129184257586432e-6,0.000308,8.430904682395644e-5
NLA12_GA-118,0.14,1.35,0.82,0.59,1.1,0.026,0.017,0.037,0.005001587301587301,0.0023493977359434915,0.005248,0.0023616,0.0005523809523809524,6.238870698016941e-5,0.0005719999999999999,7.488e-5
NLA12_GA-127,0.72,21.8,0.79,0.56,1.1,0.083,0.055,0.12,0.22760823970037453,0.006423153405330842,0.005056000000000001,0.22769894831460674,0.024662172284644193,0.0011442876681094847,0.001826,0.023922800898876405
NLA12_IA-101,3.7,79.8,0.83,0.65,1.0,0.047,0.037,0.06,0.002242134831460674,0.001584410998939269,0.002407,0.0014273335473515248,0.00041669341894060995,0.0002615770422743792,0.000611,8.0824911717496e-5
NLA12_IA-102,0.19,88.0,7.3,5.5,9.5,0.44,0.31,0.59,0.001911764705882353,0.03927373675148459,0.021169999999999998,0.01978729411764706,0.00036274509803921567,0.006409155598128955,0.005719999999999999,0.0011926588235294119
NLA12_IA-104,0.65,4.8,1.3,0.97,1.7,0.079,0.059,0.1,0.003339751552795031,0.0031004667755497703,0.00377,0.002511503105590062,0.0004860248447204969,0.000635062758392579,0.001027,0.00015262211180124222
NLA12_IA-105,1.58,91.9,1.7,1.4,2.1,0.11,0.082,0.13,0.0029216216216216215,0.006809153446966227,0.0049299999999999995,0.004664432432432432,0.000527027027027027,0.0011055904053764805,0.0014299999999999998,0.00030181621621621626
NLA12_IA-107,4.13,104.0,0.43,0.33,0.54,0.024,0.018,0.03,0.0005924358084663428,0.0014230205506148388,0.0012469999999999998,0.0007837757113115891,0.00011651630811936155,0.0002278062981498424,0.000312,4.374562109646079e-5
NLA12_IA-109,0.48,5.268571429,2.5,1.9,3.2,0.15,0.11,0.2,0.0029523809523809524,0.007006874830690735,0.0072499999999999995,0.0027918367346938776,0.0006054421768707483,0.001446054010589777,0.00195,0.00016751020408163264
NLA12_IA-113,1.22,15.9,1.0,0.86,1.2,0.073,0.058,0.09,0.0023089086859688196,0.003175957998530539,0.0029,0.002463073496659243,0.0004730512249443207,0.0006376675677293794,0.0009489999999999999,0.00017980436525612473
NLA12_IA-120,11.85,6.613333333,0.55,0.39,0.75,0.03,0.021,0.041,0.001879434134469121,0.0003373559681432437,0.001595,0.0006230946151505935,0.0003373897170672346,7.037176648382455e-5,0.00039,3.398697900821418e-5
NLA12_IA-127,0.33,14.34666667,2.0,1.7,2.2,0.17,0.13,0.21,0.0032355371900826446,0.0114747253279729,0.0058,0.009282644628099173,0.0006826446280991735,0.002325473938393979,0.00221,0.0007890247933884298
NLA12_IA-132,0.5,91.2,3.3,2.4,4.6,0.16,0.1,0.22,0.0006963636363636363,0.012201856567493178,0.009569999999999999,0.0032831999999999996,0.00012727272727272728,0.0019829554426639326,0.00208,0.00015918545454545453
NLA12_IA-134,0.37,86.0,1.6,1.3,2.0,0.16,0.13,0.2,0.012146892655367232,0.011278274486599049,0.00464,0.01866630508474576,0.002240677966101695,0.0018455033581340641,0.00208,0.001866630508474576
NLA12_IA-150,0.22,72.8,1.4,1.1,1.8,0.2,0.14,0.27,0.03455373134328358,0.029053238238018093,0.004059999999999999,0.059396776119402986,0.006267164179104477,0.004849992793979221,0.0026,0.008485253731343284
NLA12_IA-152,4.53,62.4,0.83,0.65,1.0,0.043,0.034,0.055,0.0017065502183406113,0.0016584836912168083,0.002407,0.0009832999126637553,0.0003193886462882096,0.00028217401928698753,0.0005589999999999999,5.094204366812226e-5
NLA12_ID-101,2.41,1.168,0.1,0.059,0.16,0.017,0.01,0.027,0.0011276725521669343,7.441503154532675e-5,0.00092,0.00027653547351524883,0.0005087961476725522,2.070125754248477e-5,0.000476,4.70110304975923e-5
NLA12_ID-102,0.6,1.432,0.086,0.056,0.12,0.013,0.0076,0.018,0.0008441260744985673,0.0007994208984809305,0.0007911999999999999,0.0008984609742120343,0.00021776504297994268,0.0002378417991154426,0.000364,0.0001358138681948424
